index,Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,top_bigrams,similar_1_name,similar_1_score,similar_2_name,similar_2_score,similar_3_name,similar_3_score,similar_4_name,similar_4_score,similar_5_name,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
235,,NASIR ADDERLY,2019,S,"ornerback athleticism with quick feet and fluid change of directionoutstanding drive quickness and closing speedflashes an extra gear to cover the
sidelineinstinctive and quick to sort and reactdisplays the ball skills of a former wide receiver  nine interceptions the past two seasons magnet to the ball in run
defensestrong hands to finish tackles in the open fieldcompetes with an edge and the required toughness for the position  bouncing back from physical
hitsadded return duties to his resume  including a highlight reel 92 yard touchdown return as a seniorextensive experience at every position in the secondary with
top intangibles ","Shredded physique  but lacks ideal bulk and growth potential for the positioninconsistent in press man due to impatient feetfluid mover  but lacks
natural explosion to easily recover from a false stepneeds to keep his vision in the right placehis aggressive playstyle tends to backfire  falling for ball fakes and eye
manipulationwill occasionally throw his shoulder instead of wrapping as a tacklerlimited experience against top tier competition ",nasir adderly,nasir adderly-S,,,,-0.05,ornerback athleticism quick foot fluid change directionoutstanding drive quickness closing speedflashes extra gear cover sidelineinstinctive quick sort reactdisplays ball skill former wide receiver nine interception past two season magnet ball run defensestrong hand finish tackle open fieldcompetes edge required toughness position bouncing back physical hitsadded return duty resume including highlight reel yard touchdown return seniorextensive experience every position secondary top intangible,shredded physique lack ideal bulk growth potential positioninconsistent press man due impatient feetfluid mover lack natural explosion easily recover false stepneeds keep vision right placehis aggressive playstyle tends backfire falling ball fake eye manipulationwill occasionally throw shoulder instead wrapping tacklerlimited experience top tier competition,ornerback athleticism quick foot fluid change directionoutstanding drive quickness closing speedflashes extra gear cover sidelineinstinctive quick sort reactdisplays ball skill former wide receiver nine interception past two season magnet ball run defensestrong hand finish tackle open fieldcompetes edge required toughness position bouncing back physical hitsadded return duty resume including highlight reel yard touchdown return seniorextensive experience every position secondary top intangible shredded physique lack ideal bulk growth potential positioninconsistent press man due impatient feetfluid mover lack natural explosion easily recover false stepneeds keep vision right placehis aggressive playstyle tends backfire falling ball fake eye manipulationwill occasionally throw shoulder instead wrapping tacklerlimited experience top tier competition,"['ball skill', 'drive quickness', 'easily recover', 'extra gear', 'finish tackle', 'growth potential', 'hand finish', 'ideal bulk', 'instead wrapping', 'interception past']",darnell savage-S,0.6992,lukas denis-S,0.5005,amani hooker-S,0.456,ardarius washington-S,0.444,verone mckinley-S,0.4293,darnell savage-S,0.0011838043834481587,lukas denis-S,-0.05,amani hooker-S,0.04502726591803088,ardarius washington-S,-0.05,verone mckinley-S,0.0070802652843794875,2.529,-0.009025422234039881
236,,TAYLOR RAPP,2019,S,"Highly intelligent and quick to diagnoseunderstands football geometry and doesnt misjudge anglesshort area quickness to cleanly redirect his
momentumexcellent closing burst vs  the runcontrolled tackler  squaring his target  staying low and finishing with strong handsaccurate strike zone to create
stopping power at contactfearless and willingly sticks his nose in the firemaneuvers through congestion without creating a 12 car pile upactive blitzerphysical
to the ball in coverageextra effort and toughing out injuries are standard for himdouble digit starts each of his three seasons in college","Below average timed speednot twitchy and lacks elite range or make up speedneeds to improve his pedal and transition techniquemore of a
battering ram downhill and needs to better use his hands to work off contactsuffered a hip injury in the Pac 12 Championship Game  December 2018  and had to sit
out the Rose Bowl against Ohio Statesuffered a hairline fracture in his left hand  March 2016 ",taylor rapp,taylor rapp-S,51172.0,taylor rapp,S,0.006947805620874482,highly intelligent quick diagnoseunderstands football geometry doesnt misjudge anglesshort area quickness cleanly redirect momentumexcellent closing burst runcontrolled tackler squaring target staying low finishing strong handsaccurate strike zone create stopping power contactfearless willingly stick nose firemaneuvers congestion without creating car pile upactive blitzerphysical ball coverageextra effort toughing injury standard himdouble digit start three season college,average timed speednot twitchy lack elite range make speedneeds improve pedal transition techniquemore battering ram downhill need better use hand work contactsuffered hip injury pac championship game december sit rose bowl ohio statesuffered hairline fracture left hand march,highly intelligent quick diagnoseunderstands football geometry doesnt misjudge anglesshort area quickness cleanly redirect momentumexcellent closing burst runcontrolled tackler squaring target staying low finishing strong handsaccurate strike zone create stopping power contactfearless willingly stick nose firemaneuvers congestion without creating car pile upactive blitzerphysical ball coverageextra effort toughing injury standard himdouble digit start three season college average timed speednot twitchy lack elite range make speedneeds improve pedal transition techniquemore battering ram downhill need better use hand work contactsuffered hip injury pac championship game december sit rose bowl ohio statesuffered hairline fracture left hand march,"['area quickness', 'better use', 'championship game', 'closing burst', 'create stopping', 'fracture left', 'lack elite', 'need better', 'pedal transition', 'range make']",james wiggins-S,0.4488,malik mustapha-S,0.4431,chauncey gardnerjohnson-S,0.2756,will harris-S,0.254,antonio johnson-S,0.244,james wiggins-S,-0.05,malik mustapha-S,0.0014603353650599741,chauncey gardnerjohnson-S,0.004659957846085883,will harris-S,-0.04326959007540984,antonio johnson-S,-0.05,1.6655,-0.026237836623545337
237,,JOHNATHAN ABRAM,2019,S,"Good looking athlete and fills out his uniform welldoesnt lack for play speed or physicality and looks like a missile making cross field stopsplays with
a touch of insanity and closes with thumpadequate field vision and reaction skills to identify things quicklyclean pedal and change of direction when asked to play
man coverageflies down the field with violent intentions on special teams coveragespowers through blocks as a blitzerconsidered one of the team leaders on the
field and behind the scenesgraduated with his degree in business and marketing  December 2018  ","Overaggressive pursuit leads to off balance and missed tackle attempts in spaceinconsistent strike zone  corralling high or chopping lowbad habit of
leading with his helmet  going for the blow up hit instead of the sure tackleinconsistent hand use near the line of scrimmage and can be taken out of playshas the
athleticism for man coverage  but gets grabby and shows marginal instincts  especially with his back to the balldoesnt have a feel for spacing and the quarterback
will attack him when left alone in single coveragephysical play leads to durability concerns  shoulder injury was flagged during Senior Bowl medicals",johnathan abram,johnathan abram-S,34646.0,johnathan abram,S,-0.054637354193698764,good looking athlete fill uniform welldoesnt lack play speed physicality look like missile making cross field stopsplays touch insanity close thumpadequate field vision reaction skill identify thing quicklyclean pedal change direction asked play man coverageflies field violent intention special team coveragespowers block blitzerconsidered one team leader field behind scenesgraduated degree business marketing december,overaggressive pursuit lead balance missed tackle attempt spaceinconsistent strike zone corralling high chopping lowbad habit leading helmet going blow hit instead sure tackleinconsistent hand use near line scrimmage taken playshas athleticism man coverage get grabby show marginal instinct especially back balldoesnt feel spacing quarterback attack left alone single coveragephysical play lead durability concern shoulder injury flagged senior bowl medical,good looking athlete fill uniform welldoesnt lack play speed physicality look like missile making cross field stopsplays touch insanity close thumpadequate field vision reaction skill identify thing quicklyclean pedal change direction asked play man coverageflies field violent intention special team coveragespowers block blitzerconsidered one team leader field behind scenesgraduated degree business marketing december overaggressive pursuit lead balance missed tackle attempt spaceinconsistent strike zone corralling high chopping lowbad habit leading helmet going blow hit instead sure tackleinconsistent hand use near line scrimmage taken playshas athleticism man coverage get grabby show marginal instinct especially back balldoesnt feel spacing quarterback attack left alone single coveragephysical play lead durability concern shoulder injury flagged senior bowl medical,"['asked play', 'change direction', 'durability concern', 'feel spacing', 'field vision', 'get grabby', 'good looking', 'hit instead', 'lead durability', 'line scrimmage']",quan martin-S,0.5636,christopher smith-S,0.4173,reed-S,0.3739,richard lecounte-S,0.349,cole bishop-S,0.3384,quan martin-S,-0.05,christopher smith-S,-0.05,reed-S,-0.000672242565389609,richard lecounte-S,-0.0021316919973568636,cole bishop-S,-0.024586222114052446,2.0422,-0.02857716656824605
238,234.0,CHAUNCEY GARDNERJOHNSON,2019,S,"Fluid snap and step action and immediately finds his balance flies out of his stance to reach the defensive tackle and cut off gap penetrators agile
footed and easily advances to the second level to remove linebackers from the play quick to turn and seal run lanes nice job replacing his large hands to tie up
interior rushers three time Academic All ACC honoree and that intelligence translates to the field  displaying excellent field vision and anticipation called a  student
of the game  by his coaches added 50 plus pounds since high school and known as a relentless worker in the weight room voted a senior captain graduated with a
degree in operations management  December 2017  starting experience at guard and notched 900 plus snaps each of the last two seasons at center ","Doesn t have ideal length and will be caught grabbing lacks ideal sand in his pants and power momentum will bully him backward on his heels not a
road grader in the run game and might not fit every scheme missed 2015 spring due to shoulder surgery ",chauncey gardnerjohnson,chauncey gardnerjohnson-S,49371.0,chauncey gardnerjohnson,S,0.004659957846085883,fluid snap step action immediately find balance fly stance reach defensive tackle cut gap penetrator agile footed easily advance second level remove linebacker play quick turn seal run lane nice job replacing large hand tie interior rusher three time academic acc honoree intelligence translates field displaying excellent field vision anticipation called student game coach added plus pound since high school known relentless worker weight room voted senior captain graduated degree operation management december starting experience guard notched plus snap last two season center,ideal length caught grabbing lack ideal sand pant power momentum bully backward heel road grader run game might fit every scheme missed spring due shoulder surgery,fluid snap step action immediately find balance fly stance reach defensive tackle cut gap penetrator agile footed easily advance second level remove linebacker play quick turn seal run lane nice job replacing large hand tie interior rusher three time academic acc honoree intelligence translates field displaying excellent field vision anticipation called student game coach added plus pound since high school known relentless worker weight room voted senior captain graduated degree operation management december starting experience guard notched plus snap last two season center ideal length caught grabbing lack ideal sand pant power momentum bully backward heel road grader run game might fit every scheme missed spring due shoulder surgery,"['excellent field', 'field vision', 'find balance', 'graduated degree', 'high school', 'ideal length', 'lack ideal', 'last two', 'nice job', 'pound since']",johnathan abram-S,0.2997,taylor rapp-S,0.2756,darrick forrest-S,0.2702,malik mustapha-S,0.257,jalen pitre-S,0.2527,johnathan abram-S,-0.054637354193698764,taylor rapp-S,0.006947805620874482,darrick forrest-S,0.0046755453648089805,malik mustapha-S,0.0014603353650599741,jalen pitre-S,0.018658398775710027,1.3552,-0.005981688242122781
239,235.0,JUAN THORNHILL,2019,S,"Long  rangy size smooth shuffle and clean redirection in space comfortable in man to man  using physicality and contact balance to attach and ride
patterns recognizes route concepts and has the diagnosis abilities of a former quarterback flashes the reaction quickness to drive and undercut routes aboveaverage tracking  judgement and ball skills  his 13 career interceptions rank sixth best in school history  averaged 13 6 yards per interception return
 13 177 0  doesn t lack for toughness as a tackler and takes proper pursuit angles graduated with his bachelor s degree  December 2018  versatile experience
with 36 starts spread between cornerback  22  and safety  14  ","Lanky and lacks a prototypical build for an NFL safety lacks twitchy turn and run skills not a burner inconsistent take on skills downhill doesn t
back down as a tackler  but arrives hot and needs to improve his strike zone overly patient with his reads and would like to see him take more chances grabby
downfield  attracting holding calls ",juan thornhill,juan thornhill-S,50426.0,juan thornhill,S,0.05364736574949155,long rangy size smooth shuffle clean redirection space comfortable man man using physicality contact balance attach ride pattern recognizes route concept diagnosis ability former quarterback flash reaction quickness drive undercut route aboveaverage tracking judgement ball skill career interception rank sixth best school history averaged yard per interception return lack toughness tackler take proper pursuit angle graduated bachelor degree december versatile experience start spread cornerback safety,lanky lack prototypical build nfl safety lack twitchy turn run skill burner inconsistent take skill downhill back tackler arrives hot need improve strike zone overly patient read would like see take chance grabby downfield attracting holding call,long rangy size smooth shuffle clean redirection space comfortable man man using physicality contact balance attach ride pattern recognizes route concept diagnosis ability former quarterback flash reaction quickness drive undercut route aboveaverage tracking judgement ball skill career interception rank sixth best school history averaged yard per interception return lack toughness tackler take proper pursuit angle graduated bachelor degree december versatile experience start spread cornerback safety lanky lack prototypical build nfl safety lack twitchy turn run skill burner inconsistent take skill downhill back tackler arrives hot need improve strike zone overly patient read would like see take chance grabby downfield attracting holding call,"['arrives hot', 'averaged yard', 'ball skill', 'career interception', 'comfortable man', 'cornerback safety', 'interception return', 'lack toughness', 'like see', 'man man']",tariq thompson-S,0.411,geno stone-S,0.4048,shawn davis-S,0.3961,lukas denis-S,0.3722,trey taylor-S,0.3338,tariq thompson-S,-0.05,geno stone-S,0.03596376256271897,shawn davis-S,-0.05,lukas denis-S,-0.05,trey taylor-S,-0.05,1.9179,-0.03185612853361039
240,236.0,DEIONTE THOMPSON,2019,S,"Tall  long frame rangy and covers a lot of real estate excellent drive quickness  closing on routes clean footwork and hip action in his pedal makes
athletic adjustments on the football natural ball skills and timing reads the quarterback and trusts what he sees aggressive hands to get physical at the top of
routes or fight off blocks physical in run defense  looking to wrap and drive fearless running the alley and plants ballcarriers in the hole studious player coaches
have to kick him out of the film room graduated with a degree in environmental science  August 2018  ","Lean limbed and lacks ideal body armor inconsistent eye discipline and can be caught out of position guilty of false steps late to diagnose route
combinations at the snap inconsistent habits as a run defender leads to missed tackles struggles to calm his feet and come to balance on the move limited
experience as a blitzer character isn t considered an issue  but he was arrested  April 2017  and indicted on one count of felony aggravated assault for his role in a
spring break fight  but the charges were later dropped  February 2019  suffered a torn wrist ligament and required surgery  February 2019   sidelining him for the
NFL combine ",deionte thompson,deionte thompson-S,25444.0,deionte thompson,S,-0.011072951312647742,tall long frame rangy cover lot real estate excellent drive quickness closing route clean footwork hip action pedal make athletic adjustment football natural ball skill timing read quarterback trust see aggressive hand get physical top route fight block physical run defense looking wrap drive fearless running alley plant ballcarriers hole studious player coach kick film room graduated degree environmental science august,lean limbed lack ideal body armor inconsistent eye discipline caught position guilty false step late diagnose route combination snap inconsistent habit run defender lead missed tackle struggle calm foot come balance move limited experience blitzer character considered issue arrested april indicted one count felony aggravated assault role spring break fight charge later dropped february suffered torn wrist ligament required surgery february sidelining nfl combine,tall long frame rangy cover lot real estate excellent drive quickness closing route clean footwork hip action pedal make athletic adjustment football natural ball skill timing read quarterback trust see aggressive hand get physical top route fight block physical run defense looking wrap drive fearless running alley plant ballcarriers hole studious player coach kick film room graduated degree environmental science august lean limbed lack ideal body armor inconsistent eye discipline caught position guilty false step late diagnose route combination snap inconsistent habit run defender lead missed tackle struggle calm foot come balance move limited experience blitzer character considered issue arrested april indicted one count felony aggravated assault role spring break fight charge later dropped february suffered torn wrist ligament required surgery february sidelining nfl combine,"['adjustment football', 'balance move', 'ball skill', 'body armor', 'calm foot', 'clean footwork', 'come balance', 'cover lot', 'drive quickness', 'eye discipline']",divine deablo-S,0.5464,evan worthington-S,0.4726,kam curl-S,0.4368,jalen pitre-S,0.3962,mark webb-S,0.3692,divine deablo-S,-0.05,evan worthington-S,-0.05,kam curl-S,-0.05,jalen pitre-S,0.018658398775710027,mark webb-S,-0.0023816993334090228,2.2212000000000005,-0.029838315234539118
241,237.0,DARNELL SAVAGE,2019,S,"Sudden athlete with twitchy reflexes exceptional click and close burst to drive on throws understands combination routes with heightened awareness
to developing plays excellent range as a run defender throws his body around as a tackler  with strong hands to make ankle tackles knack for avoiding road blocks
mid pursuit adequate ball skills and set a career best with four interceptions  one returned for a touchdown  as a senior competes through the whistle and rarely
leaves the field  started the final 29 games of his career   also playing on special teams team captain and coaches speak highly of his workmanship attitude ","Undersized frame and length with limited growth potential marginal point of attack strength can get boxed out by large framed receivers often
plays too aggressive in the run game  not breaking down or slowing his momentum to finish too much of a hugger with inconsistent tacking technique and strike
zone bites on misdirection and fakes  abandoning his post better feel for inside routes than outside breaking patterns didn t have great ball production ",darnell savage,darnell savage-S,34247.0,darnell savage,S,0.0011838043834481587,sudden athlete twitchy reflex exceptional click close burst drive throw understands combination route heightened awareness developing play excellent range run defender throw body around tackler strong hand make ankle tackle knack avoiding road block mid pursuit adequate ball skill set career best four interception one returned touchdown senior competes whistle rarely leaf field started final game career also playing special team team captain coach speak highly workmanship attitude,undersized frame length limited growth potential marginal point attack strength get boxed large framed receiver often play aggressive run game breaking slowing momentum finish much hugger inconsistent tacking technique strike zone bite misdirection fake abandoning post better feel inside route outside breaking pattern great ball production,sudden athlete twitchy reflex exceptional click close burst drive throw understands combination route heightened awareness developing play excellent range run defender throw body around tackler strong hand make ankle tackle knack avoiding road block mid pursuit adequate ball skill set career best four interception one returned touchdown senior competes whistle rarely leaf field started final game career also playing special team team captain coach speak highly workmanship attitude undersized frame length limited growth potential marginal point attack strength get boxed large framed receiver often play aggressive run game breaking slowing momentum finish much hugger inconsistent tacking technique strike zone bite misdirection fake abandoning post better feel inside route outside breaking pattern great ball production,"['adequate ball', 'aggressive run', 'ball production', 'ball skill', 'block mid', 'body around', 'captain coach', 'click close', 'coach speak', 'drive throw']",nasir adderly-S,0.6992,verone mckinley-S,0.5861,ardarius washington-S,0.5279,jt woods-S,0.5174,lukas denis-S,0.4876,nasir adderly-S,-0.05,verone mckinley-S,0.0070802652843794875,ardarius washington-S,-0.05,jt woods-S,-0.004787140039907678,lukas denis-S,-0.05,2.8182,-0.0298283027370213
242,238.0,AMANI HOOKER,2019,S,"Thick  well put together frame  especially in his legs and thighs controlled mover and rarely false steps quick to sort things out with above average
instincts takes calculated angles vs  the pass and the run  finding the quickest route from A to B reliable open field tackler and strikes through his target finds an
extra gear when he looks to close excellent read react skills to identify  leverage or undercut routes finds the ball in flight and has knack for timing always ball
searching  before and after the catch versatile experience with starts at free safety  strong safety and hybrid SAM linebacker ","Ordinary athleticism and long speed movements lack any semblance of burst struggles to close the gap once receivers gain a step limited man
coverage abilities vs  vertical slot doesn t have the play range to properly cover both sidelines from single high alignment not scheme diverse missed three games
as a sophomore with a leg injury  November 2017  ",amani hooker,amani hooker-S,51378.0,amani hooker,S,0.04502726591803088,thick well put together frame especially leg thigh controlled mover rarely false step quick sort thing average instinct take calculated angle pas run finding quickest route reliable open field tackler strike target find extra gear look close excellent read react skill identify leverage undercut route find ball flight knack timing always ball searching catch versatile experience start free safety strong safety hybrid sam linebacker,ordinary athleticism long speed movement lack semblance burst struggle close gap receiver gain step limited man coverage ability vertical slot play range properly cover sideline single high alignment scheme diverse missed three game sophomore leg injury november,thick well put together frame especially leg thigh controlled mover rarely false step quick sort thing average instinct take calculated angle pas run finding quickest route reliable open field tackler strike target find extra gear look close excellent read react skill identify leverage undercut route find ball flight knack timing always ball searching catch versatile experience start free safety strong safety hybrid sam linebacker ordinary athleticism long speed movement lack semblance burst struggle close gap receiver gain step limited man coverage ability vertical slot play range properly cover sideline single high alignment scheme diverse missed three game sophomore leg injury november,"['always ball', 'average instinct', 'ball searching', 'close gap', 'controlled mover', 'extra gear', 'false step', 'field tackler', 'find ball', 'free safety']",nasir adderly-S,0.456,lewis cine-S,0.4232,jason taylor-S,0.4105,nick cross-S,0.3337,tariq carpenter-S,0.3309,nasir adderly-S,-0.05,lewis cine-S,-0.0009933804672834891,jason taylor-S,-0.004913642758024903,nick cross-S,0.020144247595094283,tariq carpenter-S,-0.001952534981590144,1.9542999999999997,-0.009804742040039307
243,239.0,MIKE EDWARDS,2019,S,"Fluid athlete to flip his hips and stay balanced mid transition adequate range for the position rarely allows himself to be beaten over the top trusts
his vision and has a feel for route combinations posted 10 career interceptions  with 146 return yards and two touchdowns  takes accurate angles to the football in
run support active blitzer  skimming blocks to make backfield stops excellent tackle production  318   ranking second best in Kentucky history among defensive
backs durable and his coaches speak highly of his toughness two year team captain and graduated with a bachelor s degree  December 2018  ","Average size and build for the position lacks the recovery burst or finishing speed to cut off vertical routes choppy pedal in reverse resorts to
grabbing when he panics often plays too deep and allows excess spacing in front of him needs to widen his vision doesn t explode as a hitter needs to shore up
his tackling mechanics in motion to avoid misses downhill suffered a broken right thumb  January 2019  at the Senior Bowl ",mike edwards,mike edwards-S,51282.0,mike edwards,S,-0.014149108732796851,fluid athlete flip hip stay balanced mid transition adequate range position rarely allows beaten top trust vision feel route combination posted career interception return yard two touchdown take accurate angle football run support active blitzer skimming block make backfield stop excellent tackle production ranking second best kentucky history among defensive back durable coach speak highly toughness two year team captain graduated bachelor degree december,average size build position lack recovery burst finishing speed cut vertical route choppy pedal reverse resort grabbing panic often play deep allows excess spacing front need widen vision explode hitter need shore tackling mechanic motion avoid miss downhill suffered broken right thumb january senior bowl,fluid athlete flip hip stay balanced mid transition adequate range position rarely allows beaten top trust vision feel route combination posted career interception return yard two touchdown take accurate angle football run support active blitzer skimming block make backfield stop excellent tackle production ranking second best kentucky history among defensive back durable coach speak highly toughness two year team captain graduated bachelor degree december average size build position lack recovery burst finishing speed cut vertical route choppy pedal reverse resort grabbing panic often play deep allows excess spacing front need widen vision explode hitter need shore tackling mechanic motion avoid miss downhill suffered broken right thumb january senior bowl,"['adequate range', 'angle football', 'average size', 'avoid miss', 'broken right', 'career interception', 'choppy pedal', 'coach speak', 'defensive back', 'feel route']",ashtyn davis-S,0.5339,khari willis-S,0.3324,quan martin-S,0.3182,malik mustapha-S,0.3144,trevon moehrig-S,0.3071,ashtyn davis-S,-0.002919087924688226,khari willis-S,0.004661415100691142,quan martin-S,-0.05,malik mustapha-S,0.0014603353650599741,trevon moehrig-S,-0.004958456299098208,1.806,-0.009403465755370715
244,240.0,MALIK GANT,2019,S,"Above average play speed and covers ground balanced athlete with adequate redirection skills in man coverage looks comfortable running with
receivers vertically excellent drive reflexes  reading the eyes of the quarterback and attacking looks to tune up his target  exploding into contact with apt
timing low  controlled hits  putting his helmet into the midsection of the receiver and cutting him in half speedy angles and ankle flexion to avoid blocks on
screens gets physical at the top of routes highly productive the past two seasons and was voted the team s MVP in 2018 ","Lean  slender frame  lacking ideal body armor instincts run hot cold overaggressive in his movements  attacking before reading transition looks stiff
when flipping his hips marginal ball skills and not a proven playmaker when the ball is in the air only average play strength and sticks to blocks mid pursuit more of
a hitter than technically sound wrap up tackler  leading to misses in 1 on 1 opportunities ",malik gant,malik gant-S,,,,-0.05,average play speed cover ground balanced athlete adequate redirection skill man coverage look comfortable running receiver vertically excellent drive reflex reading eye quarterback attacking look tune target exploding contact apt timing low controlled hit putting helmet midsection receiver cutting half speedy angle ankle flexion avoid block screen get physical top route highly productive past two season voted team mvp,lean slender frame lacking ideal body armor instinct run hot cold overaggressive movement attacking reading transition look stiff flipping hip marginal ball skill proven playmaker ball air average play strength stick block mid pursuit hitter technically sound wrap tackler leading miss opportunity,average play speed cover ground balanced athlete adequate redirection skill man coverage look comfortable running receiver vertically excellent drive reflex reading eye quarterback attacking look tune target exploding contact apt timing low controlled hit putting helmet midsection receiver cutting half speedy angle ankle flexion avoid block screen get physical top route highly productive past two season voted team mvp lean slender frame lacking ideal body armor instinct run hot cold overaggressive movement attacking reading transition look stiff flipping hip marginal ball skill proven playmaker ball air average play strength stick block mid pursuit hitter technically sound wrap tackler leading miss opportunity,"['average play', 'athlete adequate', 'avoid block', 'ball air', 'ball skill', 'block mid', 'body armor', 'cover ground', 'eye quarterback', 'flipping hip']",damar hamlin-S,0.5543,ashtyn davis-S,0.5429,trevon moehrig-S,0.4272,calen bullock-S,0.4243,verone mckinley-S,0.3707,damar hamlin-S,-0.022271495682515147,ashtyn davis-S,-0.002919087924688226,trevon moehrig-S,-0.004958456299098208,calen bullock-S,-0.052315630837693305,verone mckinley-S,0.0070802652843794875,2.3194,-0.015357843944821908
