index,Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,top_bigrams,similar_1_name,similar_1_score,similar_2_name,similar_2_score,similar_3_name,similar_3_score,similar_4_name,similar_4_score,similar_5_name,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
123,,GARRETT BRADBURY,2019,C,"Fluid snap and step action and immediately finds his balanceflies out of his stance to reach the defensive tackle and cut off gap penetratorsagile
footed and easily advances to the second level to remove linebackers from the playquick to turn and seal run lanesnice job replacing his large hands to tie up
interior rushersthree time Academic All ACC honoree and that intelligence translates to the field  displaying excellent field vision and anticipationcalled a student
of the game by his coachesadded 50 plus pounds since high school and known as a relentless worker in the weight roomvoted a senior captaingraduated with a
degree in operations management  December 2017 starting experience at guard and notched 900 plus snaps each of the last two seasons at center ","Doesnt have ideal length and will be caught grabbinglacks ideal sand in his pants and power momentum will bully him backward on his heelsnot a
road grader in the run game and might not fit every schememissed 2015 spring due to shoulder surgery ",garrett bradbury,garrett bradbury-C,46013.0,garrett bradbury,C,-0.03132924460568308,fluid snap step action immediately find balanceflies stance reach defensive tackle cut gap penetratorsagile footed easily advance second level remove linebacker playquick turn seal run lanesnice job replacing large hand tie interior rushersthree time academic acc honoree intelligence translates field displaying excellent field vision anticipationcalled student game coachesadded plus pound since high school known relentless worker weight roomvoted senior captaingraduated degree operation management december starting experience guard notched plus snap last two season center,doesnt ideal length caught grabbinglacks ideal sand pant power momentum bully backward heelsnot road grader run game might fit every schememissed spring due shoulder surgery,fluid snap step action immediately find balanceflies stance reach defensive tackle cut gap penetratorsagile footed easily advance second level remove linebacker playquick turn seal run lanesnice job replacing large hand tie interior rushersthree time academic acc honoree intelligence translates field displaying excellent field vision anticipationcalled student game coachesadded plus pound since high school known relentless worker weight roomvoted senior captaingraduated degree operation management december starting experience guard notched plus snap last two season center doesnt ideal length caught grabbinglacks ideal sand pant power momentum bully backward heelsnot road grader run game might fit every schememissed spring due shoulder surgery,"['advance second', 'captaingraduated degree', 'caught grabbinglacks', 'cut gap', 'december starting', 'defensive tackle', 'experience guard', 'field vision', 'fit every', 'grader run']",jovaughn gwyn-C,0.2452,drake jackson-C,0.2042,joe tippmann-C,0.1321,kendrick green-C,0.1253,tyler biadasz-C,0.1149,jovaughn gwyn-C,-0.05,drake jackson-C,-0.05,joe tippmann-C,0.026509887164736824,kendrick green-C,-0.02637282414084256,tyler biadasz-C,0.022083348463532652,0.8217,-0.024017502777079147
124,,ERIK MCCOY,2019,C,"Quick out of his stance to cover up defendersmobility as an outside puller to cut off pursuit anglesstays balanced mid shuffle with a relaxed
punchdisplays the technical savvy to tie up his targetsinks his hips to neutralize powervigilant blocker with developed instinctscompetes with a quiet intensity
and win at all cost demeanorputs in the time off the field and his coaches praise his work habitsvoted a 2018 team captaingraduated with his bachelors degree
 December 2018 started every game the past three seasons with experience at center and guard","Doesnt play explosivehas some lower body stiffness  which hurts his reset abilitystruggles to slow cross face rushersdoesnt have a heavy punch
to create knock back at contactonly 33 inch arms and long armed defenders can get into his frameerratic hand placementoverextends himself at the second
levelimproved snap accuracy  but his inaccurate snaps came when nose to nose with a defensive tackle",erik mccoy,erik mccoy-C,37347.0,erik mccoy,C,0.058905701429679394,quick stance cover defendersmobility outside puller cut pursuit anglesstays balanced mid shuffle relaxed punchdisplays technical savvy tie targetsinks hip neutralize powervigilant blocker developed instinctscompetes quiet intensity win cost demeanorputs time field coach praise work habitsvoted team captaingraduated bachelor degree december started every game past three season experience center guard,doesnt play explosivehas lower body stiffness hurt reset abilitystruggles slow cross face rushersdoesnt heavy punch create knock back contactonly inch arm long armed defender get frameerratic hand placementoverextends second levelimproved snap accuracy inaccurate snap came nose nose defensive tackle,quick stance cover defendersmobility outside puller cut pursuit anglesstays balanced mid shuffle relaxed punchdisplays technical savvy tie targetsinks hip neutralize powervigilant blocker developed instinctscompetes quiet intensity win cost demeanorputs time field coach praise work habitsvoted team captaingraduated bachelor degree december started every game past three season experience center guard doesnt play explosivehas lower body stiffness hurt reset abilitystruggles slow cross face rushersdoesnt heavy punch create knock back contactonly inch arm long armed defender get frameerratic hand placementoverextends second levelimproved snap accuracy inaccurate snap came nose nose defensive tackle,"['abilitystruggles slow', 'armed defender', 'bachelor degree', 'body stiffness', 'came nose', 'captaingraduated bachelor', 'center guard', 'create knock', 'cross face', 'cut pursuit']",jake andrews-C,0.277,ryan bates-C,0.2115,drake jackson-C,0.1961,lloyd cushenberry-C,0.1858,tyler biadasz-C,0.1838,jake andrews-C,-0.05,ryan bates-C,-0.05,drake jackson-C,-0.05,lloyd cushenberry-C,0.03158765417121494,tyler biadasz-C,0.022083348463532652,1.0542,-0.023052641251556597
125,125.0,ELGTON JENKINS,2019,C,"Anchors at shallow depth and stands his ground vs  power naturally stout at the point of attack strong hands to lock down defenders once he
connects big bodied blocker with well proportioned thickness and bubble quick to redirect  gain positioning and wall off run lanes able to replace his hands once
jolted impressive spatial awareness quick minded player and understands protections graduated with a degree in Industrial Technology  December 2018  offers
functional versatility with starting experience at four of the five offensive line spots ","Sporadic hand placement inconsistent punch timing and allows defenders to attack his frame overly patient and needs to be more assertive instead
of allowing rushers to come to him pads rise as the play progresses has some balance issues at the second level character isn t considered a concern  but he was
arrested  February 2015  on an assault charge related to an on campus snowball fight  did not participate in the assault  but was present  ",elgton jenkins,elgton jenkins-C,,,,-0.05,anchor shallow depth stand ground power naturally stout point attack strong hand lock defender connects big bodied blocker well proportioned thickness bubble quick redirect gain positioning wall run lane able replace hand jolted impressive spatial awareness quick minded player understands protection graduated degree industrial technology december offer functional versatility starting experience four five offensive line spot,sporadic hand placement inconsistent punch timing allows defender attack frame overly patient need assertive instead allowing rusher come pad rise play progress balance issue second level character considered concern arrested february assault charge related campus snowball fight participate assault present,anchor shallow depth stand ground power naturally stout point attack strong hand lock defender connects big bodied blocker well proportioned thickness bubble quick redirect gain positioning wall run lane able replace hand jolted impressive spatial awareness quick minded player understands protection graduated degree industrial technology december offer functional versatility starting experience four five offensive line spot sporadic hand placement inconsistent punch timing allows defender attack frame overly patient need assertive instead allowing rusher come pad rise play progress balance issue second level character considered concern arrested february assault charge related campus snowball fight participate assault present,"['able replace', 'allowing rusher', 'allows defender', 'anchor shallow', 'balance issue', 'big bodied', 'blocker well', 'campus snowball', 'experience four', 'five offensive']",ross pierschbacher-C,0.1932,dohnovan west-C,0.1705,tyler linderbaum-C,0.1439,tanor bortolini-C,0.09,jimmy morrissey-C,0.0866,ross pierschbacher-C,0.010436985696147693,dohnovan west-C,-0.05,tyler linderbaum-C,0.11098544995914088,tanor bortolini-C,0.01790659564861092,jimmy morrissey-C,-0.004031981970725237,0.6842,0.015674738169141014
126,126.0,CONNOR MCGOVERN,2019,C,"Well constructed frame for the NFL level not a stiff mover  playing loose and balanced displays the reaction quickness to respond to various
pressures swings his hips in the hole to pin defenders leverages his body and uses a powerful grip to latch and drive uses precision and placement to win the hand
battle smart and calculated with terrific field vision lauded for his competitive toughness and work ethic durable and started 34 straight games to finish his PSU
career double digit starts at both center and guard ","Play strength and anchor need continued development doesn t play with length  hurting his ability to defend his frame bad habit of forgetting his
feet in pass pro vs  gap speed often caught waist bending average play range with inconsistent results when pulling climbing technique breaks down in motion ",connor mcgovern,connor mcgovern-C,,,,-0.05,well constructed frame nfl level stiff mover playing loose balanced display reaction quickness respond various pressure swing hip hole pin defender leverage body us powerful grip latch drive us precision placement win hand battle smart calculated terrific field vision lauded competitive toughness work ethic durable started straight game finish psu career double digit start center guard,play strength anchor need continued development play length hurting ability defend frame bad habit forgetting foot pas pro gap speed often caught waist bending average play range inconsistent result pulling climbing technique break motion,well constructed frame nfl level stiff mover playing loose balanced display reaction quickness respond various pressure swing hip hole pin defender leverage body us powerful grip latch drive us precision placement win hand battle smart calculated terrific field vision lauded competitive toughness work ethic durable started straight game finish psu career double digit start center guard play strength anchor need continued development play length hurting ability defend frame bad habit forgetting foot pas pro gap speed often caught waist bending average play range inconsistent result pulling climbing technique break motion,"['bad habit', 'career double', 'caught waist', 'center guard', 'competitive toughness', 'digit start', 'double digit', 'durable started', 'field vision', 'frame nfl']",creed humphrey-C,0.3049,ben brown-C,0.2388,john michaelschmitz-C,0.2298,drew dalman-C,0.2199,zach frazier-C,0.1701,creed humphrey-C,0.2503608164305511,ben brown-C,-0.05,john michaelschmitz-C,-0.05,drew dalman-C,0.006395772562832646,zach frazier-C,0.0725454225130921,1.1635,0.05728527691080268
127,127.0,LAMONT GAILLARD,2019,C,"Functional snap quickness works his hips to maneuver through tight spaces upper body strength to turn nose tackles from the run lane looks to
engage and toss on movement blocks rarely see him get overpowered eyes are always up and alert well versed at the position and makes accurate IDs presnap dogged competitor and takes pride in his finish team captain graduated with his bachelor s degree  December 2018  starting experience at center and guard
and didn t miss a game the last three seasons ","Lacks ideal size measurements inconsistent knee bend and finds himself too upright in his sets moving targets give him trouble and shine light on
some body stiffness doesn t display much twitch in his reset average lateral agility will be tougher to mask vs  NFL level disruptive linemen late on combinations
when climbing and tends to get sloppy in space ",lamont gaillard,lamont gaillard-C,46618.0,lamont gaillard,C,-0.003655224131507198,functional snap quickness work hip maneuver tight space upper body strength turn nose tackle run lane look engage toss movement block rarely see get overpowered eye always alert well versed position make accurate id presnap dogged competitor take pride finish team captain graduated bachelor degree december starting experience center guard miss game last three season,lack ideal size measurement inconsistent knee bend find upright set moving target give trouble shine light body stiffness display much twitch reset average lateral agility tougher mask nfl level disruptive linemen late combination climbing tends get sloppy space,functional snap quickness work hip maneuver tight space upper body strength turn nose tackle run lane look engage toss movement block rarely see get overpowered eye always alert well versed position make accurate id presnap dogged competitor take pride finish team captain graduated bachelor degree december starting experience center guard miss game last three season lack ideal size measurement inconsistent knee bend find upright set moving target give trouble shine light body stiffness display much twitch reset average lateral agility tougher mask nfl level disruptive linemen late combination climbing tends get sloppy space,"['bachelor degree', 'body stiffness', 'body strength', 'captain graduated', 'center guard', 'december starting', 'degree december', 'experience center', 'game last', 'give trouble']",ryan bates-C,0.3835,ross pierschbacher-C,0.3164,kyle hinton-C,0.2146,drew dalman-C,0.1797,dylan parham-C,0.1547,ryan bates-C,-0.05,ross pierschbacher-C,0.010436985696147693,kyle hinton-C,-0.05,drew dalman-C,0.006395772562832646,dylan parham-C,-0.05,1.2489000000000001,-0.026574119141803063
128,128.0,ROSS PIERSCHBACHER,2019,C,"Efficient snap to step action  quickly extending into rushers flashes a powerful punch comfortable on his feet and aggressively climbs to the linebacker
level skilled with combination blocks and stays busy through the whistle perceptive and quickly sorts through movements  finding correct blocking angles voted a
2018 team captain by his teammates graduated with his bachelor s degree in three years and recently earned his master s  December 2018  started multiple games
at all three interior offensive line positions  finishing his career with 57 career starts ","Barrel chested and lacks ideal bulk as a guard shorter arms and struggles to control long levered defenders average body twitch and slow to react to
counters tightness through his core leads to elevated pad level  losing his balance vs  power eager blocker but his hand timing and recoil are inconsistent can get
tossed when his technique isn t perfect missed two starts as a junior  November 2017  due to a high ankle sprain ",ross pierschbacher,ross pierschbacher-C,46815.0,ross pierschbacher,C,0.010436985696147693,efficient snap step action quickly extending rusher flash powerful punch comfortable foot aggressively climb linebacker level skilled combination block stay busy whistle perceptive quickly sort movement finding correct blocking angle voted team captain teammate graduated bachelor degree three year recently earned master december started multiple game three interior offensive line position finishing career career start,barrel chested lack ideal bulk guard shorter arm struggle control long levered defender average body twitch slow react counter tightness core lead elevated pad level losing balance power eager blocker hand timing recoil inconsistent get tossed technique perfect missed two start junior november due high ankle sprain,efficient snap step action quickly extending rusher flash powerful punch comfortable foot aggressively climb linebacker level skilled combination block stay busy whistle perceptive quickly sort movement finding correct blocking angle voted team captain teammate graduated bachelor degree three year recently earned master december started multiple game three interior offensive line position finishing career career start barrel chested lack ideal bulk guard shorter arm struggle control long levered defender average body twitch slow react counter tightness core lead elevated pad level losing balance power eager blocker hand timing recoil inconsistent get tossed technique perfect missed two start junior november due high ankle sprain,"['average body', 'bachelor degree', 'barrel chested', 'block stay', 'blocking angle', 'body twitch', 'captain teammate', 'career career', 'career start', 'combination block']",ryan bates-C,0.3274,lamont gaillard-C,0.3164,luke fortner-C,0.2896,dohnovan west-C,0.2854,drake jackson-C,0.2459,ryan bates-C,-0.05,lamont gaillard-C,-0.003655224131507198,luke fortner-C,-0.07494716267309083,dohnovan west-C,-0.05,drake jackson-C,-0.05,1.4647,-0.04492128847227145
129,129.0,RYAN BATES,2019,C,"Moves well on his feet to mirror and pull controls his footwork to slide and shuffle in space  using pace vs  edge speed thrusts his hips on the move to
seal lanes shorter arms but owns eager hands and a forceful six inch punch drives his lower body to create movement on face up run blocks alert blocker and sees
things quickly graduated with a degree in labor   employment relations  December 2018  versatile starting experience at both tackle spots and inside at guard ","Lacks the body type or length desired on the edges not a natural knee bender and struggles to anchor vs  power functional strength is average at
best inconsistent pad level and hip roll at contact  struggling to stay underneath blocks hands tend to wander  ending with his hands full of cloth leans and tends
to be late bringing his feet with him quick initial punch  but his recoil reset needs improved missed three games as a sophomore with a left leg injury  Oct  2017  ",ryan bates,ryan bates-C,,,,-0.05,move well foot mirror pull control footwork slide shuffle space using pace edge speed thrust hip move seal lane shorter arm owns eager hand forceful six inch punch drive lower body create movement face run block alert blocker see thing quickly graduated degree labor employment relation december versatile starting experience tackle spot inside guard,lack body type length desired edge natural knee bender struggle anchor power functional strength average best inconsistent pad level hip roll contact struggling stay underneath block hand tend wander ending hand full cloth lean tends late bringing foot quick initial punch recoil reset need improved missed three game sophomore left leg injury oct,move well foot mirror pull control footwork slide shuffle space using pace edge speed thrust hip move seal lane shorter arm owns eager hand forceful six inch punch drive lower body create movement face run block alert blocker see thing quickly graduated degree labor employment relation december versatile starting experience tackle spot inside guard lack body type length desired edge natural knee bender struggle anchor power functional strength average best inconsistent pad level hip roll contact struggling stay underneath block hand tend wander ending hand full cloth lean tends late bringing foot quick initial punch recoil reset need improved missed three game sophomore left leg injury oct,"['anchor power', 'block hand', 'body type', 'create movement', 'eager hand', 'functional strength', 'game sophomore', 'graduated degree', 'hand tend', 'hip move']",lamont gaillard-C,0.3835,ross pierschbacher-C,0.3274,zach tom-C,0.2324,erik mccoy-C,0.2115,trey hill-C,0.2012,lamont gaillard-C,-0.003655224131507198,ross pierschbacher-C,0.010436985696147693,zach tom-C,-0.05,erik mccoy-C,0.058905701429679394,trey hill-C,0.0024883733905706187,1.356,0.0024738253990012845
387,129.0,LLOYD CUSHENBERRY III,2020,C,"Smooth mover and keeps his feet underneath him easy body flexibility to close space  sitting in his stance and reacting to whatever is thrown at
him sinks to anchor on the move eager second level blocker and often found downfield making plays uses his quickness to reach defenders in the run game thick
legs  torso and upper body with long arms very intelligent and picks things up quickly alert to twists and stunts durable and rarely leaves the field  leading the
team in total snaps  1 040  in 2019 quiet by nature  but very well liked in the locker room because he always puts his head down and works  voted a team
captain  has taken practice reps at guard and has guard center starting potential in the NFL ","Caught leaning into blocks and contact balance was occasionally an issue in college must speed up his punch to cut off speed angles and prevent
rushers from crossing his face arm length will cause him to be late in his reset body angles are a work in progress didn t see him bury a lot on tape and want to see
more of a killer instinct in his finishing technique ",lloyd cushenberry,lloyd cushenberry-C,41924.0,lloyd cushenberry,C,0.03158765417121494,smooth mover keep foot underneath easy body flexibility close space sitting stance reacting whatever thrown sink anchor move eager second level blocker often found downfield making play us quickness reach defender run game thick leg torso upper body long arm intelligent pick thing quickly alert twist stunt durable rarely leaf field leading team total snap quiet nature well liked locker room always put head work voted team captain taken practice rep guard guard center starting potential nfl,caught leaning block contact balance occasionally issue college must speed punch cut speed angle prevent rusher crossing face arm length cause late reset body angle work progress see bury lot tape want see killer instinct finishing technique,smooth mover keep foot underneath easy body flexibility close space sitting stance reacting whatever thrown sink anchor move eager second level blocker often found downfield making play us quickness reach defender run game thick leg torso upper body long arm intelligent pick thing quickly alert twist stunt durable rarely leaf field leading team total snap quiet nature well liked locker room always put head work voted team captain taken practice rep guard guard center starting potential nfl caught leaning block contact balance occasionally issue college must speed punch cut speed angle prevent rusher crossing face arm length cause late reset body angle work progress see bury lot tape want see killer instinct finishing technique,"['angle work', 'arm length', 'blocker often', 'body angle', 'body flexibility', 'captain taken', 'caught leaning', 'contact balance', 'crossing face', 'defender run']",zach tom-C,0.2569,kyle hinton-C,0.2407,cesar ruiz-C,0.2264,dawson deaton-C,0.203,alex forsyth-C,0.1866,zach tom-C,-0.05,kyle hinton-C,-0.05,cesar ruiz-C,-0.05,dawson deaton-C,-0.05,alex forsyth-C,0.0024824690295446507,1.1136,-0.04120579317446747
388,130.0,CESAR RUIZ,2020,C,"Thick  compact build in his upper and lower halves keeps his hands relaxed and his knees bent at contact re leverages his hands to anchor vs 
power efficient mobility fluid out of his stance as a puller with the body control to swing his hips through the hole stretches front side to hook on outside zone
runs makes split second reads to adjust on the fly combos well from line of scrimmage to linebacker well timed from point of attack to second level described as
 enthusiastic  and the  ideal teammate   according to staffers behind the scenes at Michigan experienced at center and guard durable and finished his college
career with 31 straight starts ","Not a technically sound player from snap to snap inconsistent pad level and caught lunging  which leads to balance issues on the ground more than
necessary mobile  but not a rangy or explosive mover flat steps cause his feet to get a little heavy late to redirect vs  inside moves responsible for six penalties in
2019 and needs to improve his discipline killer instinct seems to come and go in the run game ",cesar ruiz,cesar ruiz-C,,,,-0.05,thick compact build upper lower half keep hand relaxed knee bent contact leverage hand anchor power efficient mobility fluid stance puller body control swing hip hole stretch front side hook outside zone run make split second read adjust fly combo well line scrimmage linebacker well timed point attack second level described enthusiastic ideal teammate according staffer behind scene michigan experienced center guard durable finished college career straight start,technically sound player snap snap inconsistent pad level caught lunging lead balance issue ground necessary mobile rangy explosive mover flat step cause foot get little heavy late redirect inside move responsible six penalty need improve discipline killer instinct seems come run game,thick compact build upper lower half keep hand relaxed knee bent contact leverage hand anchor power efficient mobility fluid stance puller body control swing hip hole stretch front side hook outside zone run make split second read adjust fly combo well line scrimmage linebacker well timed point attack second level described enthusiastic ideal teammate according staffer behind scene michigan experienced center guard durable finished college career straight start technically sound player snap snap inconsistent pad level caught lunging lead balance issue ground necessary mobile rangy explosive mover flat step cause foot get little heavy late redirect inside move responsible six penalty need improve discipline killer instinct seems come run game,"['anchor power', 'balance issue', 'body control', 'career straight', 'caught lunging', 'cause foot', 'center guard', 'college career', 'contact leverage', 'experienced center']",beaux limmer-C,0.3206,kendrick green-C,0.3181,lloyd cushenberry-C,0.2264,cohl cabral-C,0.1874,creed humphrey-C,0.1708,beaux limmer-C,-0.0278013268992238,kendrick green-C,-0.02637282414084256,lloyd cushenberry-C,0.03158765417121494,cohl cabral-C,-0.05,creed humphrey-C,0.2503608164305511,1.2233,0.01899842359814274
389,131.0,MATT HENNESSY,2020,C,"Efficient athlete for his size outstanding foot quickness and body control to be effective on reach blocks slides his feet well to work laterally works his
hands into his target while positioning his feet to seal as a run blocker comfortable pulling or working up to the second level high IQ player and effectively
locates communicates pre snap reads keeps his knees bent and his hips centered in his pass sets introverted personality  but named a captain and boasts elite
intangibles with a genuine love for football his coaches say he is the hardest worker on the team and lives in the football facility  working out or watching film  head
coach Rod Carey   He is never satisfied and is continuing to try and get better    started double digit games each of the last three seasons ","Won t overwhelm defenders with power doesn t generate a great push in short yardage leaner than ideal and needs to continue and add beef to his
frame below average arm length by NFL standards bull rushers can knock him on his heels if he doesn t win early inconsistent on combinations  especially vs 
quicker linebackers will occasionally allow his pads to rise in pass pro  negating his base strength only minor injuries on his resume  but did miss at least one game
each of the last three years played tackle in high school and saw reps at guard during his redshirt year  but might be a center only in the NFL 

 120 ",matt hennessy,matt hennessy-C,41141.0,matt hennessy,C,-0.004426731437338318,efficient athlete size outstanding foot quickness body control effective reach block slide foot well work laterally work hand target positioning foot seal run blocker comfortable pulling working second level high player effectively locates communicates pre snap read keep knee bent hip centered pas set introverted personality named captain boast elite intangible genuine love football coach say hardest worker team life football facility working watching film head coach rod carey never satisfied continuing try get better started double digit game last three season,overwhelm defender power generate great push short yardage leaner ideal need continue add beef frame average arm length nfl standard bull rusher knock heel win early inconsistent combination especially quicker linebacker occasionally allow pad rise pas pro negating base strength minor injury resume miss least one game last three year played tackle high school saw rep guard redshirt year might center nfl,efficient athlete size outstanding foot quickness body control effective reach block slide foot well work laterally work hand target positioning foot seal run blocker comfortable pulling working second level high player effectively locates communicates pre snap read keep knee bent hip centered pas set introverted personality named captain boast elite intangible genuine love football coach say hardest worker team life football facility working watching film head coach rod carey never satisfied continuing try get better started double digit game last three season overwhelm defender power generate great push short yardage leaner ideal need continue add beef frame average arm length nfl standard bull rusher knock heel win early inconsistent combination especially quicker linebacker occasionally allow pad rise pas pro negating base strength minor injury resume miss least one game last three year played tackle high school saw rep guard redshirt year might center nfl,"['game last', 'last three', 'average arm', 'base strength', 'body control', 'captain boast', 'bull rusher', 'center nfl', 'centered pas', 'coach say']",luke wypler-C,0.4233,sedrick van prangrainger-C,0.2968,cam jurgens-C,0.1968,graham barton-C,0.1802,michal menet-C,0.1648,luke wypler-C,-0.05,sedrick van prangrainger-C,-0.05,cam jurgens-C,-0.03012039199864715,graham barton-C,-0.01186773018237681,michal menet-C,-0.05,1.2619,-0.04145436098280217
