index,Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,top_bigrams
177,177.0,DEVIN BUSH,2019,LB,"Above average speed and lateral range to mirror elite level reaction quickness due to his instincts and athleticism displays the range to cover quick
screens and flat routes controls himself well on the move  settling his feet and squaring up his target fills gaps like a much bigger player  physically taking on lead
blocks   doesn t have the size of a thumper  but that doesn t stop him from trying to thump strikes with violence and wraps as a tackler understands field leverage
and pursuit angles quick to diagnose coverage and find passing lanes outstanding blitzer with his bend and closing burst disciplined off the field and passionate on
the field  giving 100  effort on every down  Michigan defensive coordinator Don Brown   This guy is special plays with a chip on his shoulder and can flat out
fly    voted a team captain in 2018 ","Undersized and lack of ideal length shows up often on tape struggles to disengage once locked up climbing blockers too easily eliminate him from
plays lack of inches leads to broken tackles knocked around when working downhill in the trenches will attempt to run around blockers instead of using his
hands room to improve his strike zone as a tackler to avoid hits above the shoulders competitiveness can go too far at times  i e  when he scuffed up the Michigan
State logo with his cleats after a pregame spat in October  2018  ",devin bush,devin bush-LB,27375.0,devin bush,LB,-0.03336659591151288,average speed lateral range mirror elite level reaction quickness due instinct athleticism display range cover quick screen flat route control well move settling foot squaring target fill gap like much bigger player physically taking lead block size thumper stop trying thump strike violence wrap tackler understands field leverage pursuit angle quick diagnose coverage find passing lane outstanding blitzer bend closing burst disciplined field passionate field giving effort every michigan defensive coordinator brown guy special play chip shoulder flat fly voted team captain,undersized lack ideal length show often tape struggle disengage locked climbing blocker easily eliminate play lack inch lead broken tackle knocked around working downhill trench attempt run around blocker instead using hand room improve strike zone tackler avoid hit shoulder competitiveness far time scuffed michigan state logo cleat pregame spat october,average speed lateral range mirror elite level reaction quickness due instinct athleticism display range cover quick screen flat route control well move settling foot squaring target fill gap like much bigger player physically taking lead block size thumper stop trying thump strike violence wrap tackler understands field leverage pursuit angle quick diagnose coverage find passing lane outstanding blitzer bend closing burst disciplined field passionate field giving effort every michigan defensive coordinator brown guy special play chip shoulder flat fly voted team captain undersized lack ideal length show often tape struggle disengage locked climbing blocker easily eliminate play lack inch lead broken tackle knocked around working downhill trench attempt run around blocker instead using hand room improve strike zone tackler avoid hit shoulder competitiveness far time scuffed michigan state logo cleat pregame spat october,"['around blocker', 'average speed', 'blocker easily', 'blocker instead', 'climbing blocker', 'closing burst', 'defensive coordinator', 'field leverage', 'fill gap', 'find passing']"
178,178.0,DEVIN WHITE,2019,LB,"Unlocks his speed and chases down ballcarriers active motor expands his range and allows him to cover every inch of the field plays with short area
explosion to redirect and slither through gaps near the line of scrimmage loves to scrape and bang in the trenches hungry tackler  starving for contact competes
with a violent edge and looks to tune up his target shows timing and a closing burst as a blitzer alpha type mentality and named a 2018 team captain  LSU DC Dave
Aranda   People listen to him and respect him   his passion shows both on and off the field   durable and started all but one game the last two seasons  didn t start
the 2018 Alabama game because he missed the first half due to a targeting ejection the week prior  consistently productive  leading the SEC in tackles each of the
last two seasons ","Flies around the field without coming to balance  making tackles tougher than they need to be loses his footing and takes false steps due to his crazed
movements undeveloped anticipation and needs to quicken his reads needs to more efficiently use his hands to stay clean needs to better identify targets in zone
and develop a better feel for coverage showed maturation at LSU and character isn t considered a red flag  but was charged with two misdemeanors his senior year
in high school   charged with  carnal knowledge  of a 14 year old girl when he was 17 years old  November 2015   charged with  flight from an officer   December
2015  after he received a speeding ticket and didn t immediately pull over ",devin white,devin white-LB,43089.0,devin white,LB,-0.08929154384730963,unlocks speed chase ballcarriers active motor expands range allows cover every inch field play short area explosion redirect slither gap near line scrimmage love scrape bang trench hungry tackler starving contact competes violent edge look tune target show timing closing burst blitzer alpha type mentality named team captain lsu dave aranda people listen respect passion show field durable started one game last two season start alabama game missed first half due targeting ejection week prior consistently productive leading sec tackle last two season,fly around field without coming balance making tackle tougher need loses footing take false step due crazed movement undeveloped anticipation need quicken read need efficiently use hand stay clean need better identify target zone develop better feel coverage showed maturation lsu character considered red flag charged two misdemeanor senior year high school charged carnal knowledge year old girl year old november charged flight officer december received speeding ticket immediately pull,unlocks speed chase ballcarriers active motor expands range allows cover every inch field play short area explosion redirect slither gap near line scrimmage love scrape bang trench hungry tackler starving contact competes violent edge look tune target show timing closing burst blitzer alpha type mentality named team captain lsu dave aranda people listen respect passion show field durable started one game last two season start alabama game missed first half due targeting ejection week prior consistently productive leading sec tackle last two season fly around field without coming balance making tackle tougher need loses footing take false step due crazed movement undeveloped anticipation need quicken read need efficiently use hand stay clean need better identify target zone develop better feel coverage showed maturation lsu character considered red flag charged two misdemeanor senior year high school charged carnal knowledge year old girl year old november charged flight officer december received speeding ticket immediately pull,"['last two', 'two season', 'year old', 'around field', 'coming balance', 'consistently productive', 'false step', 'durable started', 'first half', 'fly around']"
179,179.0,MACK WILSON,2019,LB,"Excellent space athlete light footed and cleanly redirects rangy in coverage and comfortable carrying receivers on crossers or verticals quick to
trigger  unlock his hips and pursue reads the eyes of the quarterback from various depths and angles violent hit lift drive tackler when he calms his feet and stays
square uses his long arms to wrap and ground ballcarriers natural ball skills and takes advantage of his opportunities  six interceptions the past two
seasons  physical hands to shock and bounce off blockers competes with an attacking mindset and burst as a blitzer ","Poor habits in pursuit inconsistent finisher due to excited feet and wild angles  flying past his target or letting ballcarriers out of his grasp late to
anticipate or leverage blocks tends to attack before reading  leading to false steps minimal production behind the line of scrimmage better cover athleticism than
cover instincts right now played through a right foot injury his sophomore year until it  popped out of place  vs  LSU  November 2017   requiring surgery only one
full season as a starter ",mack wilson,mack wilson-LB,43190.0,mack wilson,LB,-0.022824786943225393,excellent space athlete light footed cleanly redirects rangy coverage comfortable carrying receiver crossers vertical quick trigger unlock hip pursue read eye quarterback various depth angle violent hit lift drive tackler calm foot stay square us long arm wrap ground ballcarriers natural ball skill take advantage opportunity six interception past two season physical hand shock bounce blocker competes attacking mindset burst blitzer,poor habit pursuit inconsistent finisher due excited foot wild angle flying past target letting ballcarriers grasp late anticipate leverage block tends attack reading leading false step minimal production behind line scrimmage better cover athleticism cover instinct right played right foot injury sophomore year popped place lsu november requiring surgery one full season starter,excellent space athlete light footed cleanly redirects rangy coverage comfortable carrying receiver crossers vertical quick trigger unlock hip pursue read eye quarterback various depth angle violent hit lift drive tackler calm foot stay square us long arm wrap ground ballcarriers natural ball skill take advantage opportunity six interception past two season physical hand shock bounce blocker competes attacking mindset burst blitzer poor habit pursuit inconsistent finisher due excited foot wild angle flying past target letting ballcarriers grasp late anticipate leverage block tends attack reading leading false step minimal production behind line scrimmage better cover athleticism cover instinct right played right foot injury sophomore year popped place lsu november requiring surgery one full season starter,"['attack reading', 'attacking mindset', 'ball skill', 'behind line', 'block tends', 'burst blitzer', 'calm foot', 'eye quarterback', 'false step', 'foot injury']"
180,180.0,JAHLANI TAVAI,2019,LB,"Outstanding size and length for the position physical  knockback tackler uses his long arms to corral tacklers when not squared flashes violence in his
hands to strike  shed and find the football above average chase skills  accelerating and closing the gap fills with pop and low pad level  not giving ground quick to
key and diagnose  making plays in the backfield  41 0 career tackles for loss  flashes bend and an active chop rip moves as a blitzer moves clean in coverage 
flipping his hips and staying balanced in reverse developed his leadership skills as a senior  flew back to Hawaii after his surgery to rejoin and support his teammates
for the final few games of 2018  ","Overaggressive reads  attacking the wrong gap or creating false steps needs to better find his balance and calm his momentum to finish tackles plays
tall and would benefit from a more accurate strike zone needs to finish through his hips as a tackler late to leverage blocks and shed once linemen attack his
chest needs to improve his awareness in zone coverage missed the final five games his senior year with a grade 3 AC joint sprain in his right shoulder  November
2018   requiring surgery arrested for third degree misdemeanor assault  June 2018  for his involvement in an altercation at a Honolulu night club  suspended for the
2018 season opener  
 156 ",jahlani tavai,jahlani tavai-LB,51055.0,jahlani tavai,LB,-0.008767197727797812,outstanding size length position physical knockback tackler us long arm corral tackler squared flash violence hand strike shed find football average chase skill accelerating closing gap fill pop low pad level giving ground quick key diagnose making play backfield career tackle loss flash bend active chop rip move blitzer move clean coverage flipping hip staying balanced reverse developed leadership skill senior flew back hawaii surgery rejoin support teammate final game,overaggressive read attacking wrong gap creating false step need better find balance calm momentum finish tackle play tall would benefit accurate strike zone need finish hip tackler late leverage block shed linemen attack chest need improve awareness zone coverage missed final five game senior year grade joint sprain right shoulder november requiring surgery arrested third degree misdemeanor assault june involvement altercation honolulu night club suspended season opener,outstanding size length position physical knockback tackler us long arm corral tackler squared flash violence hand strike shed find football average chase skill accelerating closing gap fill pop low pad level giving ground quick key diagnose making play backfield career tackle loss flash bend active chop rip move blitzer move clean coverage flipping hip staying balanced reverse developed leadership skill senior flew back hawaii surgery rejoin support teammate final game overaggressive read attacking wrong gap creating false step need better find balance calm momentum finish tackle play tall would benefit accurate strike zone need finish hip tackler late leverage block shed linemen attack chest need improve awareness zone coverage missed final five game senior year grade joint sprain right shoulder november requiring surgery arrested third degree misdemeanor assault june involvement altercation honolulu night club suspended season opener,"['awareness zone', 'career tackle', 'chase skill', 'coverage missed', 'false step', 'final five', 'final game', 'find balance', 'find football', 'finish tackle']"
181,181.0,GERMAINE PRATT,2019,LB,"NFL body thickness  adding nearly 50 pounds since high school speed to play both sidelines  which is aided by a persistent motor physical hands to
fend off blockers  find the ballcarrier and flow strong hands wrists to finish tackles times his blitzes well to affect the backfield action comfortable sticking with
backs and tight ends out of the backfield looks to make passing targets uncomfortable in coverage competes through the whistle and described as a  gym rat  by
his coaches vocal leader and team captain graduated with a degree in parks  recreation and tourism management  May 2018  strong senior campaign ","Shorter arms inconsistent take on skills and late to shed second level blocks over aggressive tendencies  reacting before reading undisciplined eyes 
falling for misdirection or play fakes better straight line athlete than sink turn redirect quickness tight transition leads to inconsistent coverage angles underwent
surgery  July 2016  to repair a torn labrum and missed one game as a senior  Nov  2018  due to injury only spent two years at linebacker and one season as a starter ",germaine pratt,germaine pratt-LB,29407.0,germaine pratt,LB,-0.00022726648183776788,nfl body thickness adding nearly pound since high school speed play sideline aided persistent motor physical hand fend blocker find ballcarrier flow strong hand wrist finish tackle time blitz well affect backfield action comfortable sticking back tight end backfield look make passing target uncomfortable coverage competes whistle described gym rat coach vocal leader team captain graduated degree park recreation tourism management may strong senior campaign,shorter arm inconsistent take skill late shed second level block aggressive tendency reacting reading undisciplined eye falling misdirection play fake better straight line athlete sink turn redirect quickness tight transition lead inconsistent coverage angle underwent surgery july repair torn labrum missed one game senior nov due injury spent two year linebacker one season starter,nfl body thickness adding nearly pound since high school speed play sideline aided persistent motor physical hand fend blocker find ballcarrier flow strong hand wrist finish tackle time blitz well affect backfield action comfortable sticking back tight end backfield look make passing target uncomfortable coverage competes whistle described gym rat coach vocal leader team captain graduated degree park recreation tourism management may strong senior campaign shorter arm inconsistent take skill late shed second level block aggressive tendency reacting reading undisciplined eye falling misdirection play fake better straight line athlete sink turn redirect quickness tight transition lead inconsistent coverage angle underwent surgery july repair torn labrum missed one game senior nov due injury spent two year linebacker one season starter,"['back tight', 'backfield action', 'coverage angle', 'due injury', 'finish tackle', 'game senior', 'graduated degree', 'high school', 'inconsistent coverage', 'inconsistent take']"
182,182.0,TREVON CONEY,2019,LB,"Brawny frame with defined muscle tone diagnoses the backfield action quickly to beat blockers to the spot understands field leverage and won t
overrun his gap calms his feet and drops his pads as a tackler strong hands and long arms to wrap and finish play anticipation helps mask average speed no one
will question his effort high stamina player for all four quarters graduated with his degree in philosophy  May 2018  highly productive with back to back 100 plus
tackle seasons 

 157 ","Doesn t play with much burst to his game average at best speed in pursuit shows stiffness in space and elusive ballcarriers can make him miss late
to shed once long armed blockers reach him at the second level underdeveloped instincts in man coverage and late to anticipate passing lanes in zone character
isn t considered a concern  but was arrested and charged with marijuana possession  August 2016  missed spring drills after a dislocated shoulder  January 2016  ",trevon coney,trevon coney-LB,,,,-0.05,brawny frame defined muscle tone diagnosis backfield action quickly beat blocker spot understands field leverage overrun gap calm foot drop pad tackler strong hand long arm wrap finish play anticipation help mask average speed one question effort high stamen player four quarter graduated degree philosophy may highly productive back back plus tackle season,play much burst game average best speed pursuit show stiffness space elusive ballcarriers make miss late shed long armed blocker reach second level underdeveloped instinct man coverage late anticipate passing lane zone character considered concern arrested charged marijuana possession august missed spring drill dislocated shoulder january,brawny frame defined muscle tone diagnosis backfield action quickly beat blocker spot understands field leverage overrun gap calm foot drop pad tackler strong hand long arm wrap finish play anticipation help mask average speed one question effort high stamen player four quarter graduated degree philosophy may highly productive back back plus tackle season play much burst game average best speed pursuit show stiffness space elusive ballcarriers make miss late shed long armed blocker reach second level underdeveloped instinct man coverage late anticipate passing lane zone character considered concern arrested charged marijuana possession august missed spring drill dislocated shoulder january,"['arrested charged', 'average best', 'average speed', 'back back', 'backfield action', 'beat blocker', 'blocker reach', 'blocker spot', 'calm foot', 'coverage late']"
183,183.0,BLAKE CASHMAN,2019,LB,"Better play speed than timed speed gets a head start attacking plays due to his instincts moves well laterally to mirror vs  the run loose lower body to
weave and avoid blocks fearless gap filler plays low and physical downhill  skimming blocks and finding cracks on the line of scrimmage  31 0 career tackles for loss
ranks seventh best in school history  opens his hips and his speed doesn t die in reverse  matching the speed of backs and tight ends in coverage extensive special
teams experience former walk on who earned a scholarship  April 2017  shortly after P J  Fleck was hired as head coach tough minded grinder  Fleck   I wish I had
130 Blake Cashmans   led team in tackles  104  as a senior and was the first Big Ten player to record 20 plus tackles in a four quarter game since 2013  Ryan
Shazier  ","Lacks ideal size and length for the NFL game doesn t have the point of attack power to tear through blockers too easily washed from the hole by
angle blocks small margin of error as a tackler late to drive in coverage and more confidence as a run defender step late on crossers underwent three separate
shoulder surgeries since the end of the 2017 season and long term durability is a question mark only one season of starting experience ",blake cashman,blake cashman-LB,35413.0,blake cashman,LB,-0.008806485320757907,better play speed timed speed get head start attacking play due instinct move well laterally mirror run loose lower body weave avoid block fearless gap filler play low physical downhill skimming block finding crack line scrimmage career tackle loss rank seventh best school history open hip speed die reverse matching speed back tight end coverage extensive special team experience former walk earned scholarship april shortly fleck hired head coach tough minded grinder fleck wish blake cashmans led team tackle senior first big ten player record plus tackle four quarter game since ryan shazier,lack ideal size length nfl game point attack power tear blocker easily washed hole angle block small margin error tackler late drive coverage confidence run defender step late crossers underwent three separate shoulder surgery since end season long term durability question mark one season starting experience,better play speed timed speed get head start attacking play due instinct move well laterally mirror run loose lower body weave avoid block fearless gap filler play low physical downhill skimming block finding crack line scrimmage career tackle loss rank seventh best school history open hip speed die reverse matching speed back tight end coverage extensive special team experience former walk earned scholarship april shortly fleck hired head coach tough minded grinder fleck wish blake cashmans led team tackle senior first big ten player record plus tackle four quarter game since ryan shazier lack ideal size length nfl game point attack power tear blocker easily washed hole angle block small margin error tackler late drive coverage confidence run defender step late crossers underwent three separate shoulder surgery since end season long term durability question mark one season starting experience,"['avoid block', 'back tight', 'big ten', 'blocker easily', 'career tackle', 'durability question', 'end coverage', 'extensive special', 'get head', 'head coach']"
184,184.0,VOSEAN JOSEPH,2019,LB,"Quick reaction skills fluid athleticism and redirection skills shifty in space to elude blockers knack for timing his blitz and getting skinny through gaps 
making plays in the backfield lacks ideal play strength  but has the unique ability to stay balanced through congestion while tracking the ballcarrier natural feel for
pursuit angles fearless in run support and looks to tune up his target fiery competitor and plays hungry ","Lean limbed with a narrow torso needs to develop his functional strength loses his bearings when attempting to finish overaggressive tendencies in
the run game opens cutback opportunities and leads to missed tackles prone to mental breakdowns in coverage doesn t show the anticipation or urgency as a
cover defender that will scare quarterbacks from targeting him  see 2018 Georgia tape  highly emotional player who is still learning what it takes to be a professional
  he sat out the first series of the 2018 season opener for failing to meet the team s standard suffered a 50  torn MCL in his knee  November 2015  as a high
school senior  prematurely ending his prep career  didn t participate at the NFL combine due to a left hamstring strain ",vosean joseph,vosean joseph-LB,,,,-0.05,quick reaction skill fluid athleticism redirection skill shifty space elude blocker knack timing blitz getting skinny gap making play backfield lack ideal play strength unique ability stay balanced congestion tracking ballcarrier natural feel pursuit angle fearless run support look tune target fiery competitor play hungry,lean limbed narrow torso need develop functional strength loses bearing attempting finish overaggressive tendency run game open cutback opportunity lead missed tackle prone mental breakdown coverage show anticipation urgency cover defender scare quarterback targeting see georgia tape highly emotional player still learning take professional sat first series season opener failing meet team standard suffered torn mcl knee november high school senior prematurely ending prep career participate nfl combine due left hamstring strain,quick reaction skill fluid athleticism redirection skill shifty space elude blocker knack timing blitz getting skinny gap making play backfield lack ideal play strength unique ability stay balanced congestion tracking ballcarrier natural feel pursuit angle fearless run support look tune target fiery competitor play hungry lean limbed narrow torso need develop functional strength loses bearing attempting finish overaggressive tendency run game open cutback opportunity lead missed tackle prone mental breakdown coverage show anticipation urgency cover defender scare quarterback targeting see georgia tape highly emotional player still learning take professional sat first series season opener failing meet team standard suffered torn mcl knee november high school senior prematurely ending prep career participate nfl combine due left hamstring strain,"['ability stay', 'cover defender', 'cutback opportunity', 'functional strength', 'high school', 'knee november', 'lack ideal', 'lead missed', 'making play', 'missed tackle']"
185,185.0,BOBBY OKEREKE,2019,LB,"Twitchy athlete unlocks his hips and instantly accelerates closes with purpose  especially as a blitzer through gaps or off the edge elite length for the
position with arms that hang past his knees creates stopping power as a tackler processes things quickly  reading his keys and putting himself in position to make
plays projects well as a cover defender competes with the desired intensity and toughness senior captain with the character and preparation expected from an
Eagle Scout graduated with a degree in management  May 2018  durable and finished his career with 40 straight starts ","Doesn t properly use his length to stay clean from blocks eyes are glued on the backfield and late to locate climbing blockers too easily lost in
congestion can be driven from his spot overaggressive and misdirection can get him off schedule needs to improve his breakdown and positioning skills to
eliminate the missed tackles needs to load more ammo in his hands to create movement as a blitzer inconsistent coverage depth and awareness in zone ",bobby okereke,bobby okereke-LB,50954.0,bobby okereke,LB,-0.021342709974537723,twitchy athlete unlocks hip instantly accelerates close purpose especially blitzer gap edge elite length position arm hang past knee creates stopping power tackler process thing quickly reading key putting position make play project well cover defender competes desired intensity toughness senior captain character preparation expected eagle scout graduated degree management may durable finished career straight start,properly use length stay clean block eye glued backfield late locate climbing blocker easily lost congestion driven spot overaggressive misdirection get schedule need improve breakdown positioning skill eliminate missed tackle need load ammo hand create movement blitzer inconsistent coverage depth awareness zone,twitchy athlete unlocks hip instantly accelerates close purpose especially blitzer gap edge elite length position arm hang past knee creates stopping power tackler process thing quickly reading key putting position make play project well cover defender competes desired intensity toughness senior captain character preparation expected eagle scout graduated degree management may durable finished career straight start properly use length stay clean block eye glued backfield late locate climbing blocker easily lost congestion driven spot overaggressive misdirection get schedule need improve breakdown positioning skill eliminate missed tackle need load ammo hand create movement blitzer inconsistent coverage depth awareness zone,"['awareness zone', 'blocker easily', 'climbing blocker', 'cover defender', 'elite length', 'finished career', 'graduated degree', 'inconsistent coverage', 'late locate', 'length position']"
186,186.0,DRUE TRANQUILL,2019,LB,"Owns an abundance of smarts and toughness trusts what he sees and plays fast and confident competes with plus timing and reaction
quickness flashes violence in his hands to strike then shed sound  physical tackler  wrapping to finish sharp angles in pursuit intelligent zone player  undercutting
routes and pouncing at the catch point stays attached to tight ends on digs or down the seam Academic All American and graduated with a degree in mechanical
engineering  May 2018  with a 3 73 GPA experienced at three different positions the last three years two time team captain and  the model for what a football
player is   according to ND defensive coordinator Clark Lea ","Adequate athlete  but doesn t play with explosive traits inconsistent eyes and can be manipulated in coverage hugging is a common problem 
leading to pass interference penalties marginal ball skills durability is a red flag  suffering ACL tears in his left knee  November 2014  and right knee  September
2015   missed time as a senior with a high right ankle sprain  Oct  2018  and broken left hand  Oct  2018   playing through both injuries will be a 24 year old NFL
rookie ",drue tranquill,drue tranquill-LB,51276.0,drue tranquill,LB,0.017860806356090442,owns abundance smart toughness trust see play fast confident competes plus timing reaction quickness flash violence hand strike shed sound physical tackler wrapping finish sharp angle pursuit intelligent zone player undercutting route pouncing catch point stay attached tight end dig seam academic american graduated degree mechanical engineering may gpa experienced three different position last three year two time team captain model football player according defensive coordinator clark lea,adequate athlete play explosive trait inconsistent eye manipulated coverage hugging common problem leading pas interference penalty marginal ball skill durability red flag suffering acl tear left knee november right knee september missed time senior high right ankle sprain oct broken left hand oct playing injury year old nfl rookie,owns abundance smart toughness trust see play fast confident competes plus timing reaction quickness flash violence hand strike shed sound physical tackler wrapping finish sharp angle pursuit intelligent zone player undercutting route pouncing catch point stay attached tight end dig seam academic american graduated degree mechanical engineering may gpa experienced three different position last three year two time team captain model football player according defensive coordinator clark lea adequate athlete play explosive trait inconsistent eye manipulated coverage hugging common problem leading pas interference penalty marginal ball skill durability red flag suffering acl tear left knee november right knee september missed time senior high right ankle sprain oct broken left hand oct playing injury year old nfl rookie,"['ankle sprain', 'athlete play', 'ball skill', 'catch point', 'defensive coordinator', 'flash violence', 'graduated degree', 'high right', 'knee november', 'last three']"
